Length,Diameter,Height,Weight,Viscera Weight,Shell Weight,Age,Sex_F,Sex_I,Sex_M
1.425,1.0375,0.325,24.94756,5.54232725,6.747181,13,0,0,1
1.525,1.2,0.4125,35.25260325,7.58349125,10.546014,8,0,0,1
1.35,1.1,0.4,30.91512975,6.50621025,10.0640725,15,1,0,0
1.575,1.1625,0.375,29.1149365,5.329706,4.989512,8,0,0,1
1.1125,0.825,0.275,10.149121,1.8994165,3.35941575,8,0,1,0
1.55,1.125,0.5,24.323871,4.32329875,6.81805475,8,0,0,1
1.7875,1.4125,0.45,50.745605,10.02154825,15.26620575,9,1,0,0
1.075,0.8125,0.225,12.0485375,2.4664065,2.6932025,7,0,1,0
1.625,1.2125,0.4,49.31395525,7.89533575,8.71747125,10,0,0,1
1.3625,1.0875,0.3375,21.87163925,4.195726,6.4353365,8,0,1,0
1.6,1.25,0.4375,36.0889135,8.29222875,11.4815475,13,0,0,1
1.6,1.2625,0.45,36.7693015,8.85921875,10.2908685,11,0,0,1
1.525,1.1875,0.425,29.44095575,6.8322295,9.07184,14,0,1,0
1.6125,1.3,0.475,37.15201975,8.164656,10.489315,12,1,0,0
1.525,1.2125,0.425,36.3157095,8.60407325,9.355335,9,0,0,1
1.1,0.85,0.25,12.7856245,2.4664065,3.685435,10,1,0,0
1.0,0.75,0.2875,8.57572375,1.31825175,2.65067825,8,1,0,0
1.425,1.2375,0.4,30.94347925,7.7961125,8.9300925,14,1,0,0
1.6625,1.25,0.4375,36.78347625,8.901743,8.9300925,9,0,0,1
1.7375,1.425,0.5,57.6345335,12.06271225,19.4194075,15,0,0,1
1.6125,1.2,0.375,33.792604,7.35669525,8.0796075,9,0,0,1
1.475,1.2,0.4,35.777069,7.72523875,9.4970825,9,0,0,1
1.7125,1.325,0.425,44.22522,10.8578585,13.1825175,11,0,0,1
1.6625,1.25,0.375,35.36600125,8.37727725,10.19164525,10,1,0,0
1.2875,1.05,0.3375,17.84601025,3.6003865,6.0951425,9,1,0,0
1.65,1.2625,0.4625,43.318036,8.57572375,12.5021295,11,1,0,0
1.1625,0.9375,0.275,14.17475,3.2034935,4.26659975,8,0,0,1
1.25,0.9625,0.375,17.76096175,4.72019175,4.53592,10,0,1,0
1.425,1.1125,0.3875,28.8314415,5.74077375,7.5126175,10,1,0,0
1.125,0.8375,0.2375,9.93649975,1.77184375,3.35941575,7,0,1,0
0.95,0.7,0.2375,8.17883075,1.23320325,1.8994165,7,0,1,0
1.575,1.2,0.4625,34.302895,7.24329725,9.128539,11,0,0,1
1.3875,1.1375,0.425,23.91280325,5.40057975,8.50485,15,0,1,0
1.4375,1.1,0.4625,29.0582375,6.36446275,7.04485075,10,0,0,1
0.4625,0.3375,0.1,0.7654365,0.15592225,0.2551455,5,0,1,0
1.1875,0.9375,0.3,15.9607685,3.41611475,5.2446575,10,0,0,1
1.675,1.3,0.4875,51.21337175,10.58853825,14.33067225,11,1,0,0
1.1,0.875,0.3125,12.927372,2.70737725,3.7137845,8,0,1,0
1.15,0.8875,0.275,12.360382,2.721552,3.5436875,8,0,1,0
1.6875,1.325,0.4375,41.00755175,9.355335,11.0279555,10,1,0,0
1.5,1.175,0.475,32.16250775,7.35669525,9.56795625,10,1,0,0
1.75,1.4375,0.5,49.22890675,11.24057675,13.0691195,11,1,0,0
1.3375,1.05,0.3125,20.921931,5.37223025,5.08873525,8,0,0,1
1.025,0.7875,0.2375,8.674947,2.08368825,2.551455,9,0,0,1
0.725,0.525,0.1625,2.7499015,0.623689,0.850485,6,0,1,0
1.3125,1.05,0.3875,23.870279,4.01145425,5.79747275,9,0,0,1
1.4875,1.075,0.525,43.21881275,11.226402,11.623295,11,1,0,0
1.125,0.8375,0.275,11.89261525,2.4097075,3.81300775,7,0,1,0
0.9,0.6875,0.2125,5.59902625,1.17650425,1.984465,9,0,1,0
1.4125,1.1375,0.375,27.76833525,5.8116475,7.7961125,8,0,0,1
1.125,0.8875,0.2625,12.60135275,2.6365035,3.78465825,8,0,1,0
1.25,0.9375,0.3625,16.42853525,3.89805625,5.2446575,9,0,1,0
1.7375,1.4125,0.475,49.99434325,11.3114505,14.10387625,11,1,0,0
1.425,1.1125,0.4,28.76056775,4.649318,8.50485,10,0,0,1
1.65,1.2625,0.5,46.22385975,8.4198015,17.293195,18,0,0,1
1.6,1.4625,0.4875,46.6916265,9.3836845,13.3526145,12,0,0,1
1.0875,0.8125,0.25,10.375917,2.05533875,3.0900955,7,0,1,0
1.45,1.175,0.4125,26.2799865,5.62737575,8.9300925,11,0,0,1
1.5125,1.2125,0.4,34.0477495,8.15048125,10.77281,9,1,0,0
1.625,1.3625,0.575,49.668324,8.20718025,23.1048425,16,1,0,0
1.575,1.25,0.4375,35.84794275,8.68912175,9.70970375,10,0,0,1
1.175,0.8875,0.45,12.5021295,3.30271675,3.8271825,8,1,0,0
1.55,1.1875,0.4,37.54891275,6.6054335,9.28446125,9,1,0,0
1.25,0.9625,0.275,16.896302,2.948348,4.2807745,8,0,1,0
0.775,0.5625,0.1875,4.3941725,1.0489315,1.03475675,6,0,1,0
1.5,1.15,0.3875,27.59823825,5.79747275,8.50485,8,1,0,0
1.0375,0.8125,0.25,9.11436425,1.68679525,2.9766975,10,0,1,0
1.6375,1.475,0.5,43.81415225,10.67358675,11.7650425,11,0,0,1
1.0,0.75,0.275,8.46232575,2.0128145,2.1262125,6,0,1,0
1.225,0.925,0.275,15.252031,2.93417325,3.9405805,8,0,1,0
1.1875,0.9625,0.3625,17.50581625,3.061746,6.0951425,14,0,0,1
1.3875,1.0625,0.35,22.339406,4.52174525,8.0796075,11,1,0,0
1.5875,1.25,0.375,39.008912,10.2341695,8.788345,10,1,0,0
1.0375,0.8375,0.25,10.149121,1.8994165,2.9766975,7,0,1,0
1.45,1.1375,0.3875,23.71435675,3.92640575,9.07184,18,1,0,0
1.225,0.9,0.275,14.18892475,3.0333965,5.5281525,17,1,0,0
1.4,1.1125,0.3875,34.699788,9.14271375,7.64019025,10,1,0,0
1.5125,1.225,0.375,32.16250775,7.49844275,8.3631025,9,1,0,0
1.2375,1.0,0.3,18.72484475,4.5642695,5.386405,15,0,0,1
1.45,1.175,0.375,25.7129965,5.25883225,6.93145275,11,0,1,0
1.45,1.25,0.4125,26.2232875,5.2446575,8.51902475,10,1,0,0
1.025,0.8125,0.25,11.169703,1.85689225,3.005047,6,0,1,0
1.025,0.7625,0.2375,7.44174375,1.45999925,2.551455,6,0,1,0
1.2,0.9,0.3125,15.365429,2.90582375,4.1673765,7,0,1,0
1.0875,0.8375,0.25,9.19941275,2.22543575,2.778251,7,0,1,0
1.1,0.8875,0.4125,12.3320325,2.9766975,3.96893,16,0,1,0
1.6,1.2625,0.4125,40.92250325,8.60407325,11.056305,18,0,0,1
1.425,1.0875,0.325,21.36134825,4.97533725,5.499803,10,0,0,1
1.75,1.45,0.5125,60.384435,13.891255,16.44271,20,0,0,1
1.2375,0.95,0.3,13.437663,3.01922175,4.37999775,10,0,0,1
1.6875,1.3375,0.4,39.972795,9.00096625,11.90679,16,1,0,0
1.6,1.4125,0.575,43.1195895,10.546014,11.509897,15,0,0,1
1.45,1.1375,0.375,28.689694,5.99591925,8.03708325,10,0,0,1
1.6375,1.275,0.3875,36.55668025,8.09378225,11.623295,11,1,0,0
0.825,0.625,0.1875,3.98310475,0.9922325,1.417475,5,0,1,0
1.1,0.8625,0.2875,15.4504775,3.1467945,3.69960975,6,0,1,0
1.575,1.2375,0.45,37.137845,8.3631025,13.31009025,10,0,0,1
0.95,0.675,0.2375,6.2085405,1.45999925,1.984465,6,0,0,1
1.1125,0.8625,0.35,13.494362,2.87747425,3.07592075,15,0,0,1
0.675,0.475,0.2,2.2963095,0.55281525,0.850485,6,0,1,0
1.65,1.2125,0.3875,34.79901125,7.767763,8.50485,8,0,0,1
1.8,1.4375,0.45,47.35783975,10.21999475,14.2030995,12,1,0,0
1.7375,1.375,0.5125,61.6034635,13.22504175,14.061352,10,0,0,1
1.0375,0.8125,0.2625,10.77281,2.22543575,3.40194,12,1,0,0
1.5625,1.3,0.45,38.385223,9.9506745,10.6310625,11,1,0,0
0.6875,0.5,0.1875,2.438057,0.5386405,0.850485,7,0,1,0
1.2625,0.9625,0.375,18.18620425,4.309124,6.0951425,12,0,0,1
1.575,1.2625,0.4375,34.6147395,7.144074,9.63883,12,0,0,1
1.0375,0.8125,0.275,8.958442,2.25378525,2.62232875,8,0,1,0
1.1875,1.05,0.4,20.11397025,4.26659975,5.23048275,8,0,1,0
0.7625,0.575,0.2,4.422522,0.97805775,1.360776,7,1,0,0
1.2875,0.9625,0.275,16.40018575,4.53592,3.96893,8,0,0,1
1.825,1.4375,0.525,58.6551155,11.5949455,18.2287285,11,0,0,1
1.125,0.875,0.3125,13.53688625,2.5231055,3.345241,6,0,1,0
0.8625,0.6875,0.2375,5.65572525,1.51669825,1.984465,6,0,1,0
0.7,0.5125,0.1375,3.21766825,0.77961125,0.94970825,7,0,1,0
1.325,1.05,0.3375,19.1926115,4.01145425,5.953395,9,1,0,0
1.5375,1.175,0.3625,29.15746075,8.00873375,8.0796075,11,0,0,1
1.0875,0.825,0.275,11.7083435,2.721552,2.721552,6,0,1,0
1.5625,1.25,0.4625,35.22425375,7.030676,9.4970825,10,0,0,1
1.15,0.875,0.275,11.18387775,2.45223175,3.5436875,9,0,1,0
1.6375,1.325,0.4375,35.81959325,7.47009325,11.7650425,15,0,0,1
1.2875,0.975,0.275,15.0535845,2.778251,4.57844425,8,0,1,0
1.0875,0.8125,0.2625,9.4970825,1.8427175,3.2601925,8,0,1,0
1.65,1.3,0.475,44.168521,8.448151,11.3398,10,0,0,1
1.1875,0.9125,0.2875,14.1464005,2.50893075,4.422522,10,0,1,0
0.925,0.675,0.225,5.25883225,1.20485375,1.8427175,7,0,1,0
1.45,1.1375,0.325,24.153774,4.89028875,6.3786375,8,0,0,1
1.3625,1.1125,0.375,22.6796,4.6209685,5.8683465,9,1,0,0
1.475,1.15,0.3625,28.08017975,6.25106475,7.7961125,8,1,0,0
1.4875,1.2,0.35,25.86891875,5.17378375,8.1930055,9,0,0,1
0.8875,0.6625,0.225,4.762716,1.1623295,1.7860185,8,0,0,1
1.1875,0.9125,0.2875,13.891255,3.50116325,3.78465825,9,0,1,0
1.4875,1.15,0.3875,29.63940225,6.80388,8.74582075,10,1,0,0
0.925,0.7,0.2125,5.613201,1.28990225,1.644271,5,0,1,0
1.425,1.125,0.3375,22.12678475,5.2446575,5.953395,8,1,0,0
1.525,1.225,0.425,32.2333815,8.00873375,9.752228,12,1,0,0
1.7375,1.45,0.5,53.84987525,13.551061,15.01106025,13,0,0,1
1.725,1.2875,0.45,52.29065275,13.19669225,9.6671795,13,0,0,1
1.1875,0.9125,0.325,13.62193475,3.231843,4.18155125,12,1,0,0
1.6375,1.3375,0.5125,46.62075275,10.19164525,13.04077,13,0,0,1
1.3875,1.125,0.4375,24.777463,5.726599,8.6465975,10,0,0,1
1.525,1.1875,0.4375,29.029888,7.3992195,9.128539,9,0,0,1
1.0625,0.8625,0.3125,12.0485375,2.25378525,4.365823,13,0,1,0
1.075,0.8125,0.275,10.41844125,2.65067825,3.40194,13,0,1,0
1.775,1.25,0.375,37.32211675,7.98038425,7.93786,10,1,0,0
1.125,0.825,0.25,11.6516445,2.83495,2.778251,6,0,1,0
1.1875,0.9875,0.3375,16.782904,4.66349275,5.6699,13,0,0,1
1.4375,1.1375,0.4,28.05183025,5.5281525,6.973977,9,0,1,0
0.825,0.6625,0.2125,5.556502,0.86465975,1.26155275,6,0,1,0
0.6875,0.5125,0.2,2.721552,0.52446575,0.850485,6,0,1,0
1.45,1.1,0.3625,22.41027975,4.66349275,6.860579,10,0,1,0
0.9625,0.725,0.225,6.70465675,1.43164975,2.154562,8,0,1,0
1.5375,1.2,0.475,38.55532,6.73300625,13.324265,18,0,0,1
1.475,1.125,0.3,21.21960075,3.72795925,6.23689,14,0,0,1
1.0,0.8125,0.3,9.02931575,1.60174675,2.6932025,8,1,0,0
1.175,0.8875,0.45,13.60776,2.9766975,4.26659975,8,0,1,0
1.7625,1.4,0.425,41.31939625,9.015141,12.47378,11,1,0,0
1.225,0.9625,0.3125,17.2648455,2.721552,5.03203625,8,0,0,1
1.4,1.125,0.4,26.138239,5.046211,7.37087,15,0,0,1
1.1125,0.8875,0.375,13.7495075,3.5436875,4.3941725,11,1,0,0
1.6,1.2625,0.475,36.18813675,9.298636,11.3398,12,1,0,0
1.2875,0.975,0.3125,16.17338975,3.58621175,5.2446575,8,0,1,0
1.5125,1.1875,0.35,31.68056625,7.2858215,7.767763,9,0,0,1
1.1125,0.775,0.225,9.525432,2.551455,2.42388225,7,0,1,0
0.35,0.2625,0.0875,0.396893,0.07087375,0.113398,3,0,1,0
1.125,0.85,0.3125,11.46737275,1.984465,3.81300775,8,0,1,0
1.4,1.05,0.375,24.81998725,5.57067675,6.56290925,8,0,0,1
1.2125,0.9375,0.35,14.7700895,3.4869885,4.819415,8,0,1,0
1.6875,1.3125,0.425,51.29842025,11.0846545,12.8990225,12,1,0,0
0.9625,0.725,0.2375,8.845044,1.80019325,2.438057,6,0,1,0
1.6375,1.1375,0.425,36.1456125,8.5898985,9.4403835,8,1,0,0
1.4125,1.1625,0.375,33.49493425,6.27941425,8.77417025,9,0,1,0
0.825,0.6,0.1875,4.6209685,0.9355335,1.360776,6,0,1,0
1.4875,1.1375,0.3625,26.705229,5.159609,7.8528115,11,0,0,1
1.425,1.1875,0.4875,29.18581025,5.40057975,8.6465975,18,0,0,1
1.1875,0.9375,0.2875,14.75591475,3.3735905,4.12485225,7,0,1,0
1.325,1.05,0.35,17.7751365,3.30271675,5.1879585,8,1,0,0
1.325,1.075,0.375,21.0069795,5.25883225,5.556502,9,1,0,0
0.9375,0.75,0.1875,4.082328,0.850485,1.247378,7,0,1,0
1.1375,0.9375,0.3125,12.984071,3.1467945,3.40194,10,1,0,0
1.2125,0.925,0.2875,13.56523575,2.70737725,3.6570855,7,1,0,0
1.325,1.1375,0.4125,27.79668475,7.98038425,8.40562675,11,1,0,0
1.425,1.1625,0.3875,27.45649075,7.3992195,7.2291225,9,1,0,0
1.5125,1.1625,0.4125,29.937072,7.01650125,9.63883,13,0,0,1
1.4375,1.15,0.375,26.2799865,5.8683465,8.46232575,9,1,0,0
1.325,1.05,0.325,28.3778495,6.406987,7.5126175,17,1,0,0
1.4875,1.15,0.425,32.02076025,7.24329725,7.5126175,10,0,0,1
1.3625,0.9625,0.375,31.70891575,6.93145275,8.06543275,9,1,0,0
0.9,0.75,0.2125,7.654365,1.814368,2.11203775,7,0,1,0
1.45,1.15,0.375,29.7386255,5.48562825,8.6465975,10,0,0,1
1.3,1.025,0.3875,20.6100865,5.20213325,6.6621325,12,1,0,0
1.25,0.95,0.3125,14.7133905,3.21766825,3.798833,8,0,1,0
0.85,0.65,0.2125,5.34388075,0.94970825,1.70097,6,0,1,0
0.95,0.725,0.3,8.0229085,1.85689225,2.4097075,9,0,0,1
1.2,0.875,0.3375,15.49300175,2.82077525,4.479221,8,0,1,0
1.25,0.975,0.3125,16.5277585,3.742134,4.55009475,8,0,1,0
0.975,0.775,0.2625,7.55514175,1.48834875,2.2963095,8,0,1,0
1.4125,1.0375,0.3125,18.9091165,4.37999775,5.2446575,7,0,0,1
1.6875,1.4125,0.4875,52.09220625,10.24834425,15.6772735,12,1,0,0
0.7375,0.55,0.1625,3.67126025,0.793786,0.9922325,6,0,1,0
0.75,0.575,0.2125,3.3168915,0.49611625,1.17650425,6,0,1,0
1.6125,1.2625,0.4125,37.0527965,7.427569,14.74174,10,0,0,1
1.375,1.0875,0.35,22.66542525,5.40057975,6.747181,10,0,1,0
1.2125,0.9625,0.3125,13.53688625,2.22543575,4.819415,12,0,0,1
1.5125,1.1375,0.3625,24.437269,5.62737575,8.50485,9,1,0,0
1.125,0.9,0.3125,12.757275,2.45223175,4.1106775,12,0,1,0
1.25,1.0,0.4125,23.3883375,5.8116475,8.0796075,13,0,0,1
1.5625,1.25,0.4375,36.0889135,8.561549,10.602713,9,1,0,0
1.575,1.325,0.4375,40.07201825,8.34892775,10.07824725,13,0,0,1
0.9625,0.6875,0.2875,7.61184075,2.33883375,2.4097075,8,0,0,1
1.7375,1.3125,0.5125,51.55356575,11.41067375,12.82814875,13,1,0,0
1.475,1.15,0.3125,21.4038725,4.252425,6.747181,9,0,1,0
1.5625,1.225,0.4375,31.39707125,6.13766675,10.19164525,8,1,0,0
1.65,1.3125,0.5,41.4753185,8.49067525,11.963489,11,1,0,0
0.825,0.65,0.2,5.6699,1.417475,1.984465,9,1,0,0
1.0,0.75,0.3125,11.8217415,2.551455,3.33106625,9,0,0,1
1.7375,1.325,0.375,41.8722115,8.57572375,12.190285,14,0,0,1
1.4,1.125,0.3625,26.52095725,4.66349275,7.72523875,11,0,0,1
1.3375,1.0,0.325,18.6256215,4.592619,4.9611625,7,0,1,0
1.125,0.875,0.325,13.04077,3.1467945,3.8271825,8,0,0,1
1.3875,1.1,0.375,30.957654,6.010094,12.48795475,15,0,0,1
1.55,1.2125,0.4125,33.055517,6.747181,10.0640725,13,1,0,0
0.7125,0.5375,0.15,2.65067825,0.6520385,0.850485,6,0,1,0
1.5625,1.225,0.3875,34.26037075,4.592619,11.6516445,11,1,0,0
